Language,Sentence
Ahtna,Ndoxe tiyaas?
Ahtna,Nitaayi tseande tse' tesyaas
Ahtna,Dahwhdeldiixden tse' tesyaas
Ahtna,Nay'dini'aa Na' tse' tesyaas
Ahtna,Kahtnu tse' tesyaas
Ahtna,Ndaane tseni yaa?
Ahtna,Naydini'aa Na'dayaw tsens syaaden
Ahtna,Kahtnu izdaa
Ahtna,T edze gaa nats'idaetl'
Ahtna,Tluu na nate den
Aleut,Sabaakax̂ ulax̂ alakux̂.
Aleut,Piitram ulakuchax̂ ngaan agukuu.
Aleut,Sabaakaan ulax̂ matamax̂?
Aleut,Taatang ataqan al awakux̂.
Aleut,Saxtalakan awazax̂.
Aleut,Taatang kidul awamazaq.
Aleut,Awaatumazax̂t ii?
Aleut,Kitang nas angaliq.
Aleut,Nas akung qidaqang.
Aleut,Qidal akuqaang nanaqadanax̂.
Alutiiq,KaRtuugarturtaartukut.
Alutiiq,Qunukamken.
Alutiiq,Tangramken.
Alutiiq,Tengausqakun agciqukut.
Alutiiq,Natgun angq’rtaaten?
Alutiiq,Arhnat’stun kuimartuq.
Alutiiq,Iqallumek nerqutartuq kesiin. 
Alutiiq,"Macanguq, kesiin pat’snartuq cali."
Alutiiq,Uswillra’aq qia’uq elliin katallria.
Alutiiq,Arnaq alatiliuq.
Dena'ina,Chin'an gheli.
Dena'ina,Chin'an nch'u sheł dini da k'i yagheli.
Dena'ina,Duk'idli gheli.
Dena'ina,Ughasht'ay!
Dena'ina,Q'u lach' q'u dit dinit?
Dena'ina,Nen shi yeh ch'u da in'u da?
Dena'ina,Q'u lach' shughu deshni da.
Dena'ina,Q'u yaghelich' dini shit.
Dena'ina,Nidighełqetni.
Dena'ina,K'itigi gheli k'eyi inlan.
Deg Xinag,Xiyo xinadilighusr.
Deg Xinag,Xogh gidegh nixinedatl.
Deg Xinag,Ngidixi yixgitsiy q'unt'ox.
Deg Xinag,Engan n'entht'uq.
Deg Xinag,Gog sitl'oghiłtanh.
Deg Xinag,Tsaghiłde'on dixinałjit.
Deg Xinag,Eniggan xitididił łeggitl'ogh.
Deg Xinag,Yitotl'ogh ndadz dit'anh?
Deg Xinag,Dranetr xitl'ogh tr'itodił.
Deg Xinag,Yidong dong dixoght'an ts'in'.
Eyak,AwA’ahdah aanda’ sahL.
Eyak,dAXunhyuuga’ wAX dAGAlee’.
Eyak,cheeyshuh qi’yishish?
Eyak,dik’ duxshch’eLG.
Eyak,giyahshuh sALga’L?
Eyak,ya’ gu’lAXLA’a’ch’!
Eyak,shduulihGdAch’ ilAX’a’ch’!
Eyak,uq’ isda’LX GAlAXle’g!
Eyak,dAGALAwa’LdAch’ AdyaanLAt’e’q’!
Eyak,dALt’uuch’ga’iit’eh.
Gwich'in,neenjit dôonch'yàa?
Gwich'in,nakhwal'in shoo ihłii.
Gwich'in,Sheenjit gwinzįį.
Gwich'in,Noozhrì’ doozhii?
Gwich'in,Nijìn gwats’an inlįį?
Gwich'in,Chee jiÅ‚ haÅ‚’aa.
Gwich'in,DehtÅ‚’yee akin alii.
Gwich'in,Han sheets’eehin jyaa shroo?
Gwich'in,Neeyii ghan naÌ¨iÌ¨iÌ¨ juu t’inch’yaa?
Gwich'in,Geegwal’ee.
Haida,Tl'áanuu dáng hlgángulaang?
Haida,Háws dáng hl kíngsaang.
Haida,Sánuu dáng kya'áang?
Haida,Noozhrì’ doozhii?
Haida,Díi tadáay tláalaay sgwáansanggang.
Haida,Gíistgaay gúust uu dáng k'wáalaagang?
Haida,Táawk dáng sdahláa?
Haida,K'áat ki'íi uu íijang.
Haida,Xíl kagan uu hl nílgang.
Haida,"Ge'é, gám chíin hl xiláat-'anggang."
Han,Nänjit dähònche?
Han,Shänjit hǫzǫ.
Han,Dìndąy'?
Han,Mahsi'.
Han,Cha in huzhudìntsąy.
Han,Jì nìndhän?
Han,Nëląy nihthän.
Han,Näwdëdhät k'äjit
Han,Jit shëtsey dinch'e.
Han,Shäje näk-'ąy.
Holikachuk,łoogg
Holikachuk,łoogg dood mininh iligh
Holikachuk,giggootth
Holikachuk,q’oon’
Holikachuk,nathdlod
Holikachuk,gineeggod
Holikachuk,ggineet’ogh
Holikachuk,danan
Holikachuk,gitsin’
Holikachuk,datvatr
Inupiaq,Qaŋa tai!
Inupiaq,Kiña atqiñ?
Inupiaq,Aarigaa kasuqłutin.
Inupiaq,Tautugniaqmiġikpiñ.
Inupiaq,Atii uqaulasraluanngiluitin.
Inupiaq,Nauŋ anaġvik?
Inupiaq,Kanaakkiuyumiñaqpiñuk?
Inupiaq,Tuqłuġlugich puliisat/aikł̣iksuqti!
Inupiaq,Quviasugiñ annivigñi.
Inupiaq,Uqautchiq atausiq naammalaitchuq.
Koyukon,Deneege okko enkk’o’ts’eededaał.
Koyukon,Tlede sodʉhtl de henk’ezełkooł.
Koyukon,Haa’! Deneege eetl’ekk.
Koyukon,Eenaa’e deneege toleł ełts’ee.
Koyukon,Nelaanh ggunh laaghe saanh kkuno dots’eldlo.
Koyukon,Eetaa’e yeł eenaa’e yeł deneege nelaan neheł’ʉhtl
Koyukon,Eenaa’e yeł setsoo yeł deneege nelaan gho kk’oheedeneyh.
Koyukon,Deneege toleł yeł daalggune yeł tsaay esenoonh ts’uh kk’aat.
Koyukon,Deneege k’etsaan’ te letaanh.
Koyukon,"Oho’, hoghaalgenee."
Lower Tanana,"Uto’ayi, sech’etthatthila’ setl’ogh no’i’oyh"
